,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityPartRange,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasGuestRoom,price
0,75523,3,0,1,63,3,2005,0,1,4313,9005,956,7,7559081.5
1,80771,39,1,1,98,8,2015,1,0,3653,2436,128,2,8085989.5
2,55712,58,0,1,19,6,2021,0,0,2937,8852,135,9,5574642.1
3,32316,47,0,0,6,10,2012,0,1,659,7141,359,3,3232561.2
4,70429,19,1,1,90,3,1990,1,0,8435,2429,292,4,7055052.0
5,39223,36,0,1,17,8,2012,0,1,2009,4552,757,1,3926647.2
6,58682,10,1,1,99,10,1995,1,1,5930,9453,848,5,5876376.5
7,86929,100,1,0,11,3,2003,1,0,6326,4748,654,10,8696869.3
8,51522,3,0,0,61,8,2012,1,1,632,5792,807,5,5154055.2
9,39686,42,0,0,15,5,2021,1,1,5198,5342,591,3,3970892.1
10,23563,21,0,1,90,6,1993,1,0,703,852,684,10,2366397.3
11,96470,74,1,0,21,4,2011,1,1,5414,1172,716,9,9652258.1
12,19127,31,1,0,5,2,2008,0,0,5387,4430,374,4,1914688.8
13,13087,44,1,0,77,8,2004,1,0,1745,724,582,0,1320803.4
14,79770,3,0,1,69,10,2018,0,1,8871,7117,240,7,7986665.8
15,75985,60,1,0,67,6,2009,1,1,4878,281,384,5,7607322.9
16,64169,88,0,1,6,3,2011,1,1,3054,129,726,9,6420823.1
17,99371,31,1,1,16,7,2013,1,1,3258,6296,354,8,9944705.3
18,25966,37,1,1,17,3,2016,0,0,8257,2557,162,6,2604486.6
19,41792,43,1,1,10,9,2017,1,1,2950,9573,572,5,4187667.7
20,28795,64,1,1,50,3,2009,1,1,9862,2666,330,0,2888047.9
21,92383,12,0,0,78,3,2000,0,0,7507,9056,892,1,9244344.0
22,33279,64,1,0,65,3,2019,1,1,2427,717,732,1,3333351.9
23,34782,47,0,0,73,1,2020,0,1,9586,6604,822,2,3482594.0
24,13386,51,0,0,90,4,1993,0,0,2885,1149,904,4,1342509.3
25,20883,56,0,0,54,5,2018,0,0,9982,8142,670,10,2091505.8
26,95121,46,0,1,3,7,1994,0,0,615,1221,328,10,9515440.4
27,6071,72,1,0,14,2,2003,1,1,3306,3635,295,2,612471.3
28,11844,43,0,0,55,6,1993,1,0,5292,8233,395,10,1189939.3
29,52078,7,1,1,73,10,2016,1,1,1864,2049,558,5,5217708.6
30,25897,98,1,0,92,2,1993,0,1,9799,9569,116,10,2598763.3
31,85443,40,1,1,54,3,2021,1,0,3056,8928,292,2,8555234.1
32,11412,78,0,0,79,1,2009,1,1,6899,8997,695,0,1145642.9
33,97550,89,1,1,98,2,2014,1,0,5391,897,388,0,9765099.4
34,76485,47,1,0,9,2,2008,1,0,2860,3129,982,1,7653300.8
35,26169,29,0,0,62,9,1993,0,1,7918,187,919,9,2622399.3
36,24239,87,1,0,91,4,1998,0,0,6656,7149,698,3,2427801.8
37,36239,8,0,1,24,7,1990,0,1,6679,6528,798,5,3627708.0
38,10500,88,0,1,49,10,2013,1,1,4170,5501,422,5,1057021.3
39,87060,27,0,1,91,8,2000,0,0,6629,435,512,7,8711426.0
40,66683,19,1,1,6,6,2001,0,0,7473,796,237,3,6677649.1
41,66569,59,1,1,56,7,2016,1,1,2020,7188,269,10,6667802.6
42,84559,29,0,1,69,7,2000,1,0,3573,9556,918,8,8460604.0
43,28749,39,0,1,53,6,1996,1,0,8113,2352,982,3,2877997.6
44,76091,38,1,0,32,5,2016,1,0,8150,6037,930,7,7614076.6
45,92696,49,1,0,38,9,2021,0,0,1559,5111,957,2,9272740.1
46,46988,66,1,1,27,9,1991,1,1,8339,6331,874,4,4707341.1
47,48062,22,0,1,4,1,2008,1,0,7908,552,817,1,4809993.8
48,5767,97,1,1,11,7,1998,1,0,2516,5601,307,4,586742.8
49,59800,47,0,1,27,6,2021,0,0,5075,3104,864,4,5984462.1
50,54836,25,0,1,53,10,2020,1,0,5278,1059,313,6,5492532.0
51,54318,10,1,1,52,4,1998,1,1,9580,3787,227,1,5444967.8
52,70021,52,1,0,28,4,1992,0,1,4480,6919,680,1,7005572.2
53,54368,11,1,1,20,3,2021,0,0,231,1939,223,8,5446398.1
54,31421,29,0,1,68,5,1999,1,1,8949,2080,630,5,3147829.9
55,63053,6,1,1,28,3,1997,0,1,8414,6270,939,8,6315375.7
56,4187,89,0,1,17,1,1994,1,0,186,2627,559,2,421906.4
57,33108,82,0,1,83,6,2016,1,0,6250,8751,552,2,3316069.6
58,64393,8,0,0,51,4,1990,1,0,3835,2403,559,6,6441378.0
59,93876,60,0,1,70,2,1999,1,1,4086,5991,494,8,9390891.9
60,67040,60,1,1,22,4,1993,1,0,4817,5222,927,0,6714247.3
61,47938,17,0,0,68,7,2013,0,1,327,209,352,8,4797883.3
62,39090,57,1,0,74,4,2010,0,0,3572,8722,811,6,3917691.0
63,43609,66,0,0,55,4,2005,0,1,3388,2353,120,7,4364910.5
64,41998,74,1,0,17,6,1990,1,0,6838,4925,828,9,4203344.0
